spec_id,rank,pred_smiles,gt_smiles,exact_match,tanimoto
spectraverse_pos_000001,1,Cc1ccc(OC2COC=C(C=O)C=C2OCCC(=O)C(C)C)c(O)c1,COc1cc(O)c(C(=O)CCc2ccc(OC)c(OC)c2)c(OC)c1,0,0.2105
spectraverse_pos_000001,2,Cc1ccc(CCC(O)OCC(O)CC(C)O)c(OOC2C=CC(=O)OC2)c1,COc1cc(O)c(C(=O)CCc2ccc(OC)c(OC)c2)c(OC)c1,0,0.131
spectraverse_pos_000001,3,CC(O)Cc1ccc(C=COC=C2COC(=O)CO2)c(OCC(O)C(C)C)c1,COc1cc(O)c(C(=O)CCc2ccc(OC)c(OC)c2)c(OC)c1,0,0.1795
spectraverse_pos_000001,4,CC1COC(C2C=CO2)C=C1O.CC1Oc2ccc(cc2Cl)C(O)CC1=O,COc1cc(O)c(C(=O)CCc2ccc(OC)c(OC)c2)c(OC)c1,0,0.1125
spectraverse_pos_000001,5,CC(Cl)CC(O)COC1OCOC(c2ccoc2)=CC1C(C(=O)O)C(C)O,COc1cc(O)c(C(=O)CCc2ccc(OC)c(OC)c2)c(OC)c1,0,0.1325
spectraverse_pos_000002,1,CC(C=C(O)CC1OCC(C)C2Oc3ccc(cc3O2)C=CC1O)C(=O)O,COc1cc(O)c(C(=O)CCc2ccc(OC)c(OC)c2)c(OC)c1,0,0.1392
spectraverse_pos_000002,2,CC(=CC=C1c2cc(OCC(=O)O)ccc2OCC(C)OC1O)C(Cl)Cl,COc1cc(O)c(C(=O)CCc2ccc(OC)c(OC)c2)c(OC)c1,0,0.1341
spectraverse_pos_000002,3,C=CC(O)Cn1ccc(C2OCC(C)COC(=COCCC(C)C(=O)O)O2)c1,COc1cc(O)c(C(=O)CCc2ccc(OC)c(OC)c2)c(OC)c1,0,0.1111
spectraverse_pos_000002,4,CC1OCC(C=COCO)c2ccn(c2)OC1C(=O)C(C)C(O)C(F)F,COc1cc(O)c(C(=O)CCc2ccc(OC)c(OC)c2)c(OC)c1,0,0.1059
spectraverse_pos_000002,5,Cc1ccc(OC=Cc2ccoc2)c(OCC(O)CC=CC(O)C(=O)O)c1,COc1cc(O)c(C(=O)CCc2ccc(OC)c(OC)c2)c(OC)c1,0,0.1519
spectraverse_pos_000002,6,CC(F)CC(=O)C1Oc2ccc(OC3=CC(CCC#N)COC3C)cc2O1,COc1cc(O)c(C(=O)CCc2ccc(OC)c(OC)c2)c(OC)c1,0,0.1325
spectraverse_pos_000003,1,COc1cc(C)cc(OCC(C)C2OC(c3cccc(C)c3)OCCC2=O)c1OCC(=O)O,COc1cc2c(cc1OC)C1Oc3c(cc(OC)c(OC)c3OC)C1CO2,0,0.1786
spectraverse_pos_000003,2,COc1c(C)cc(C(=O)CO)c(OCC=O)c1C.Oc1cccc(OC2OCC3OC32)c1,COc1cc2c(cc1OC)C1Oc3c(cc(OC)c(OC)c3OC)C1CO2,0,0.1628
spectraverse_pos_000003,3,CC(C)C.COc1cc2cc(OCC(=O)c3ccc(C)o3)c1o2.c1cc2c3cc1C(CO3)O2,COc1cc2c(cc1OC)C1Oc3c(cc(OC)c(OC)c3OC)C1CO2,0,0.2308
spectraverse_pos_000003,4,COc1c(C)c(C(=O)CCC2COC(=O)c3ccc(o3)C2O)cc(O)c1OCC(C)O,COc1cc2c(cc1OC)C1Oc3c(cc(OC)c(OC)c3OC)C1CO2,0,0.2073
spectraverse_pos_000004,1,CON=C(CCc1cc(C)c(OC)c(C(=O)O)c1OCC=O)c1ccc2c(c1)OCC(C)O2,COc1cc2c(cc1OC)C1Oc3c(cc(OC)c(OC)c3OC)C1CO2,0,0.1977
spectraverse_pos_000004,2,COc1cc(C(=O)C=C(OCC(C)C)Oc2cccc(O)c2)cc(OCCC(C)O)c1C,COc1cc2c(cc1OC)C1Oc3c(cc(OC)c(OC)c3OC)C1CO2,0,0.1176
